NestID,Structure Type,Structure ID,Maximum Width,Notes
D_quadriceps2,Chamber,C1,NA,
D_quadriceps2,Chamber,C2,NA,
D_quadriceps2,Chamber,C3,NA,
D_quadriceps2,Chamber,C4,NA,
D_quadriceps20,Chamber,C1,NA,
D_quadriceps20,Chamber,C2,NA,
D_quadriceps20,Chamber,C3,NA,
D_quadriceps20,Chamber,C4,NA,
D_quadriceps20,Chamber,C5,NA,
D_quadriceps20,Chamber,C6,NA,
D_quadriceps20,Chamber,C7,NA,
D_quadriceps22,Chamber,C1,6.9,
D_quadriceps22,Chamber,C10,7.7,
D_quadriceps22,Chamber,C12,10.8,
D_quadriceps22,Chamber,C2,10.9,
D_quadriceps22,Chamber,C13,11,
D_quadriceps22,Chamber,C11,11.2,
D_quadriceps22,Chamber,C6,11.8,
D_quadriceps22,Chamber,C9,12.3,
D_quadriceps22,Chamber,C5,13.3,
D_quadriceps22,Chamber,C4,15.7,
D_quadriceps22,Chamber,C3,16.2,
D_quadriceps22,Chamber,C8,16.7,
D_quadriceps22,Chamber,C7,18.5,
D_quadriceps29,Chamber,C1,NA,
D_quadriceps29,Chamber,C2,NA,
D_quadriceps29,Chamber,C3,NA,
D_quadriceps29,Chamber,C4,NA,
D_quadriceps29,Chamber,C5,NA,
D_quadriceps29,Chamber,C6,NA,
D_quadriceps29,Chamber,C7,NA,
D_quadriceps29,Chamber,C8,NA,
D_quadriceps29,Chamber,C9,NA,
D_quadriceps29,Chamber,C10,NA,
D_quadriceps29,Chamber,C11,NA,
D_quadriceps29,Chamber,C12,NA,
D_quadriceps29,Chamber,C13,NA,
D_quadriceps29,Chamber,C14,NA,
D_quadriceps3,Chamber,C1,NA,
D_quadriceps3,Chamber,C2,NA,
D_quadriceps3,Chamber,C3,NA,
D_quadriceps3,Chamber,C4,NA,
D_quadriceps3,Chamber,C5,NA,
D_quadriceps7,Chamber,C1,NA,
D_quadriceps7,Chamber,C2,NA,
D_quadriceps7,Chamber,C3,NA,
D_quadriceps7,Chamber,C4,NA,
D_quadriceps7,Chamber,C5,NA,
D_quadriceps7,Chamber,C6,NA,
D_quadriceps8,Chamber,C1,NA,
D_quadriceps8,Chamber,C2,NA,
D_quadriceps8,Chamber,C3,NA,
D_quadriceps8,Chamber,C4,NA,
D_quadriceps8,Chamber,C5,NA,
D_quadriceps8,Chamber,C6,NA,
D_quadriceps9,Chamber,C1,NA,
D_quadriceps9,Chamber,C2,NA,
D_quadriceps9,Chamber,C3,NA,
D_quadriceps9,Chamber,C4,NA,
D_quadriceps9,Chamber,C5,NA,
D_quadriceps9,Chamber,C6,NA,
D_quadriceps9,Chamber,C7,NA,
D_quadriceps9,Chamber,C8,NA,
D_quadriceps9,Chamber,C9,NA,
D_quadriceps9,Chamber,C10,NA,
D_quadriceps9,Chamber,C11,NA,
E_brunneum1,Entrance,E1,0,
